type,oc_year,oc_data,oc_county,oc_region
案類,發生年度,發生日期,發生縣市,發生鄉鎮市區
住宅竊盜,105,101,基隆市,中山區
住宅竊盜,105,101,新北市,土城區
住宅竊盜,105,101,新北市,新莊區
住宅竊盜,105,101,雲林縣,口湖鄉
住宅竊盜,105,101,台南市,學甲區
住宅竊盜,105,101,澎湖縣,馬公市
住宅竊盜,105,101,澎湖縣,馬公市
住宅竊盜,105,101,澎湖縣,馬公市
住宅竊盜,105,101,台北市,松山區
住宅竊盜,105,101,台北市,文山區
住宅竊盜,105,102,台北市,中山區
住宅竊盜,105,102,彰化縣,彰化市
住宅竊盜,105,102,屏東縣,萬巒鄉
住宅竊盜,105,102,花蓮縣,花蓮市
住宅竊盜,105,102,台北市,中正區
住宅竊盜,105,103,新北市,三重區
住宅竊盜,105,103,台北市,中山區
住宅竊盜,105,103,新北市,板橋區
住宅竊盜,105,103,台北市,信義區
住宅竊盜,105,103,南投縣,草屯鎮
住宅竊盜,105,103,宜蘭縣,蘇澳鎮
住宅竊盜,105,103,台北市,大安區
住宅竊盜,105,104,南投縣,埔里鎮
住宅竊盜,105,104,高雄市,鳳山區
住宅竊盜,105,104,彰化縣,鹿港鎮
住宅竊盜,105,104,台北市,大安區
住宅竊盜,105,104,新北市,泰山區
住宅竊盜,105,104,台北市,內湖區
住宅竊盜,105,104,台北市,松山區
住宅竊盜,105,104,新竹市,香山區
住宅竊盜,105,104,新北市,金山區
住宅竊盜,105,105,台南市,學甲區
住宅竊盜,105,105,新北市,新莊區
住宅竊盜,105,105,台中市,豐原區
住宅竊盜,105,105,苗栗縣,苗栗市
住宅竊盜,105,105,新北市,中和區
住宅竊盜,105,105,台南市,永康區
住宅竊盜,105,105,彰化縣,彰化市
住宅竊盜,105,105,新北市,中和區
住宅竊盜,105,105,桃園市,八德區
住宅竊盜,105,105,台北市,內湖區
住宅竊盜,105,105,高雄市,美濃區
住宅竊盜,105,105,桃園市,中壢區
住宅竊盜,105,106,台北市,文山區
住宅竊盜,105,106,苗栗縣,泰安鄉
住宅竊盜,105,106,台南市,白河區
住宅竊盜,105,106,台南市,下營區
住宅竊盜,105,106,桃園市,大園區
住宅竊盜,105,106,台南市,永康區
住宅竊盜,105,106,高雄市,甲仙區
住宅竊盜,105,107,台東縣,台東市
住宅竊盜,105,107,基隆市,安樂區
住宅竊盜,105,107,宜蘭縣,蘇澳鎮
住宅竊盜,105,107,彰化縣,永靖鄉
住宅竊盜,105,107,新北市,新莊區
住宅竊盜,105,107,桃園市,中壢區
住宅竊盜,105,107,基隆市,中山區
