type,oc_year,oc_data,oc_county,oc_region
案類,發生年度,發生日期,發生縣市,發生鄉鎮市區
住宅竊盜,108,101,基隆市,七堵區
住宅竊盜,108,101,南投縣,草屯鎮
住宅竊盜,108,101,台北市,南港區
住宅竊盜,108,101,台北市,北投區
住宅竊盜,108,101,台北市,內湖區
住宅竊盜,108,101,新北市,樹林區
住宅竊盜,108,102,台南市,北區
住宅竊盜,108,102,台北市,大同區
住宅竊盜,108,102,新竹縣,新豐鄉
住宅竊盜,108,102,宜蘭縣,三星鄉
住宅竊盜,108,102,台北市,內湖區
住宅竊盜,108,102,雲林縣,口湖鄉
住宅竊盜,108,102,台中市,豐原區
住宅竊盜,108,102,苗栗縣,後龍鎮
住宅竊盜,108,102,台北市,內湖區
住宅竊盜,108,102,花蓮縣,花蓮市
住宅竊盜,108,102,彰化縣,北斗鎮
住宅竊盜,108,103,新北市,汐止區
住宅竊盜,108,103,新竹縣,湖口鄉
住宅竊盜,108,103,嘉義縣,六腳鄉
住宅竊盜,108,104,新北市,土城區
住宅竊盜,108,104,台北市,士林區
住宅竊盜,108,104,基隆市,信義區
住宅竊盜,108,104,新北市,新店區
住宅竊盜,108,104,新北市,中和區
住宅竊盜,108,104,台北市,中山區
住宅竊盜,108,104,新北市,板橋區
住宅竊盜,108,104,台南市,東區
住宅竊盜,108,104,台南市,東山區
住宅竊盜,108,104,台北市,大同區
住宅竊盜,108,104,新北市,中和區
住宅竊盜,108,104,新北市,泰山區
住宅竊盜,108,105,雲林縣,斗六市
住宅竊盜,108,105,新北市,金山區
住宅竊盜,108,105,新北市,五股區
住宅竊盜,108,105,新竹縣,竹東鎮
住宅竊盜,108,105,台南市,新市區
住宅竊盜,108,105,桃園市,中壢區
住宅竊盜,108,106,金門縣,金湖鎮
住宅竊盜,108,106,新竹市,東區
住宅竊盜,108,106,高雄市,鳳山區
住宅竊盜,108,106,台北市,中山區
住宅竊盜,108,106,台北市,萬華區
住宅竊盜,108,106,高雄市,鳳山區
住宅竊盜,108,106,台中市,烏日區
住宅竊盜,108,106,桃園市,平鎮區
住宅竊盜,108,106,新北市,新莊區
住宅竊盜,108,107,台中市,豐原區
住宅竊盜,108,107,南投縣,埔里鎮
住宅竊盜,108,107,台南市,柳營區
住宅竊盜,108,107,新北市,汐止區
住宅竊盜,108,107,南投縣,埔里鎮
住宅竊盜,108,107,台南市,學甲區
住宅竊盜,108,107,花蓮縣,秀林鄉
住宅竊盜,108,107,雲林縣,元長鄉
住宅竊盜,108,107,雲林縣,二崙鄉
住宅竊盜,108,108,台南市,新營區
住宅竊盜,108,108,新北市,永和區
住宅竊盜,108,108,台北市,萬華區
住宅竊盜,108,108,台北市,南港區
住宅竊盜,108,108,台北市,大安區
住宅竊盜,108,108,屏東縣,屏東市
住宅竊盜,108,108,台南市,新市區
住宅竊盜,108,108,台南市,鹽水區
住宅竊盜,108,108,彰化縣,北斗鎮
住宅竊盜,108,108,台北市,大安區
住宅竊盜,108,109,高雄市,鳳山區
住宅竊盜,108,109,宜蘭縣,宜蘭市
住宅竊盜,108,109,台中市,神岡區
住宅竊盜,108,109,新北市,林口區
住宅竊盜,108,109,新北市,汐止區
住宅竊盜,108,109,嘉義縣,梅山鄉
住宅竊盜,108,109,雲林縣,水林鄉
住宅竊盜,108,110,高雄市,鳳山區
住宅竊盜,108,110,新竹市,東區
住宅竊盜,108,110,台北市,大同區
住宅竊盜,108,110,彰化縣,福興鄉
住宅竊盜,108,110,苗栗縣,苑裡鎮
住宅竊盜,108,110,台南市,安定區
住宅竊盜,108,110,台中市,烏日區
住宅竊盜,108,110,新北市,新莊區
住宅竊盜,108,110,新竹市,香山區
住宅竊盜,108,110,台南市,西港區
住宅竊盜,108,110,新北市,新莊區
住宅竊盜,108,111,台南市,善化區
住宅竊盜,108,111,新北市,土城區
住宅竊盜,108,111,桃園市,中壢區
住宅竊盜,108,111,新北市,汐止區
住宅竊盜,108,111,新北市,新店區
住宅竊盜,108,111,基隆市,七堵區
住宅竊盜,108,111,基隆市,七堵區
住宅竊盜,108,112,台北市,信義區
住宅竊盜,108,112,台中市,北屯區
住宅竊盜,108,112,台南市,中西區
住宅竊盜,108,112,彰化縣,埤頭鄉
住宅竊盜,108,112,台北市,中正區
住宅竊盜,108,112,桃園市,桃園區
住宅竊盜,108,112,台南市,仁德區
住宅竊盜,108,112,南投縣,南投市
住宅竊盜,108,112,新竹縣,竹北市
住宅竊盜,108,113,雲林縣,口湖鄉
住宅竊盜,108,113,桃園市,龍潭區
住宅竊盜,108,113,台南市,歸仁區
住宅竊盜,108,113,新北市,石碇區
住宅竊盜,108,113,新北市,鶯歌區
住宅竊盜,108,113,嘉義市,西區
住宅竊盜,108,113,雲林縣,北港鎮
住宅竊盜,108,114,台中市,大里區
住宅竊盜,108,114,新北市,新莊區
住宅竊盜,108,114,新北市,萬里區
住宅竊盜,108,114,彰化縣,福興鄉
住宅竊盜,108,114,新北市,中和區
